scenario,orr1,rho1,n_ia,enrl_rate,orr0,mos0,mos1,rho2,lambda0,SOC/Non-Responder,SOC/Responder,TRT/Non-Responder,TRT/Responder,Relationship between ORR and OS
19,0.35,0.5,40,3,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
20,0.35,0.5,40,12,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
21,0.35,1,10,3,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
22,0.35,1,10,12,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
23,0.35,1,40,3,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
24,0.35,1,40,12,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
25,0.45,0.1,10,3,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
26,0.45,0.1,10,12,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
27,0.45,0.1,40,3,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
28,0.45,0.1,40,12,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
29,0.45,0.5,10,3,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
30,0.45,0.5,10,12,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
31,0.45,0.5,40,3,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
32,0.45,0.5,40,12,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
33,0.45,1,10,3,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
34,0.45,1,10,12,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
35,0.45,1,40,3,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
36,0.45,1,40,12,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
